DATE,TFAABSHNO_DSPI
2003-04-01,4.2706563058235084
2003-07-01,4.2583692210996788
2003-10-01,4.4301465269191213
2004-01-01,4.5964426360421341
2004-04-01,4.5537785328877355
2004-07-01,4.5887093547327351
2004-10-01,4.6990452301264304
2005-01-01,4.7651365887717920
2005-04-01,4.8113317362953732
2005-07-01,4.8650186338475451
2005-10-01,4.8787905037116506
2006-01-01,4.9635901402361588
2006-04-01,4.9060081956528279
2006-07-01,4.9685392655946935
2006-10-01,5.0668456083745374
2007-01-01,5.1068983240438950
2007-04-01,5.1255727647719213
2007-07-01,5.1976608370064932
2007-10-01,5.1237407993396162
2008-01-01,4.9596500564325361
2008-04-01,4.7367603830408829
2008-07-01,4.6390510802516029
2008-10-01,4.4097521821306893
2009-01-01,4.3834299805016424
2009-04-01,4.4310261685770113
