DATE,POLLOLITONOSTSAM
2007-07-01,101.28006225922
2007-08-01,101.096225518007
2007-09-01,100.943660952463
2007-10-01,100.809682080826
2007-11-01,100.670829758515
2007-12-01,100.508077158142
2008-01-01,100.317447822239
2008-02-01,100.080841332494
2008-03-01,99.7865481122915
2008-04-01,99.4513502542523
2008-05-01,99.1026485568341
2008-06-01,98.7815474631927
2008-07-01,98.5035858820639
2008-08-01,98.3084692887049
2008-09-01,98.2190993838324
2008-10-01,98.2380824388473
2008-11-01,98.3349072862029
2008-12-01,98.4739135399206
2009-01-01,98.6163523212613
2009-02-01,98.7307578112801
2009-03-01,98.7939727653799
2009-04-01,98.8109833580678
2009-05-01,98.8102163153108
2009-06-01,98.8133041479554
2009-07-01,98.8364827676965
2009-08-01,98.8990624076596
2009-09-01,99.0025570648735
2009-10-01,99.1455089892903
2009-11-01,99.3274172253801
2009-12-01,99.5319715949215
2010-01-01,99.7579570138309
2010-02-01,99.9792566079553
2010-03-01,100.178697630296
2010-04-01,100.338433879975
2010-05-01,100.455495500404
2010-06-01,100.527415453511
2010-07-01,100.558029559808
2010-08-01,100.537542703154
2010-09-01,100.474441527601
2010-10-01,100.396644688813
2010-11-01,100.310930513511
2010-12-01,100.220631824076
2011-01-01,100.116061253325
2011-02-01,100.031212596798
2011-03-01,99.9676262398626
2011-04-01,99.9033668690289
2011-05-01,99.8375462815812
2011-06-01,99.7741510077324
2011-07-01,99.7438033514504
2011-08-01,99.7690431956957
2011-09-01,99.8514634516791
2011-10-01,99.9663772615471
2011-11-01,100.091653213465
2011-12-01,100.179768580528
2012-01-01,100.154446661884
2012-02-01,100.040741364175
2012-03-01,99.8823976180525
2012-04-01,99.7317880517029
2012-05-01,99.5978924231371
2012-06-01,99.4686286723466
2012-07-01,99.3388398012548
2012-08-01,99.2265409628145
2012-09-01,99.1465371469753
2012-10-01,99.1152231006289
2012-11-01,99.1438987453125
2012-12-01,99.1948334668593
2013-01-01,99.2499484313322
2013-02-01,99.2960305549933
2013-03-01,99.3450140460931
2013-04-01,99.4195281035466
2013-05-01,99.5446121549987
2013-06-01,99.6938628749016
2013-07-01,99.8283566159636
2013-08-01,99.9329433702502
2013-09-01,100.001565010415
2013-10-01,100.051099535823
2013-11-01,100.094407586755
2013-12-01,100.142719191025
2014-01-01,100.187036673725
2014-02-01,100.208594225804
2014-03-01,100.179778597218
2014-04-01,100.137921574088
2014-05-01,100.127373178884
2014-06-01,100.159027137758
2014-07-01,100.228563407344
2014-08-01,100.299811395561
2014-09-01,100.357267808388
2014-10-01,100.372232142657
2014-11-01,100.347874184068
2014-12-01,100.306980000652
2015-01-01,100.293819634139
2015-02-01,100.33930599885
2015-03-01,100.452574555866
2015-04-01,100.587918843306
2015-05-01,100.709198289911
2015-06-01,100.806858321912
2015-07-01,100.894412914079
2015-08-01,100.983387951245
2015-09-01,101.076019990832
2015-10-01,101.178176581636
2015-11-01,101.243871478238
2015-12-01,101.235819728891
2016-01-01,101.164146963963
2016-02-01,101.037896999118
2016-03-01,100.898837656965
2016-04-01,100.829172530905
2016-05-01,100.844254317292
2016-06-01,100.896467897502
2016-07-01,100.938640695026
2016-08-01,100.957256160144
2016-09-01,100.973990953834
2016-10-01,100.990477115413
2016-11-01,101.009943674388
2016-12-01,101.029719251006
2017-01-01,101.006201485651
2017-02-01,100.940006013449
2017-03-01,100.846400751814
2017-04-01,100.73302702244
2017-05-01,100.601735047754
2017-06-01,100.491787666394
2017-07-01,100.425383466392
2017-08-01,100.400667230061
2017-09-01,100.406797507748
2017-10-01,100.412998916066
2017-11-01,100.410741079834
2017-12-01,100.408844628231
2018-01-01,100.419947675709
2018-02-01,100.435451795415
2018-03-01,100.418990052057
2018-04-01,100.371350960095
2018-05-01,100.303618600655
2018-06-01,100.212119230546
2018-07-01,100.078421122925
2018-08-01,99.9271701519925
2018-09-01,99.7821697131764
2018-10-01,99.6710375699875
2018-11-01,99.5865348814426
2018-12-01,99.5081633003546
2019-01-01,99.4383894985129
2019-02-01,99.3622578867358
2019-03-01,99.2644556047272
2019-04-01,99.1328712368817
2019-05-01,98.9696813220097
2019-06-01,98.7781127366715
2019-07-01,98.5812149302128
2019-08-01,98.3963204619702
2019-09-01,98.2267636409809
2019-10-01,98.0904788215717
2019-11-01,98.0216359259121
2019-12-01,98.0465072647082
2020-01-01,98.1953877311685
2020-02-01,98.4940908162925
2020-03-01,97.9189244200325
2020-04-01,96.6704634642776
2020-05-01,94.7462852596625
2020-06-01,95.8151791916377
2020-07-01,97.407940325864
2020-08-01,98.5320843376416
2020-09-01,99.1930082448499
2020-10-01,99.4387283880223
2020-11-01,99.5913214836633
2020-12-01,99.6283433201602
